PRODUCTO,COBERTURA,ANIO,ID_ENTIDAD,ESPECIE_GANADERA,CABEZAS_SACRIFICADAS,ESTATUS_DATO_CBZ,PRODUCCION_CARNE,ESTATUS_DATO_PROD,VALOR_PRODUCCION,ESTATUS_DATO_VPROD,PRECIO_MEDIO,ESTATUS_DATO_PMED,ESTATUS
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	01",Ganado bovino,37768,Disponible,7024,Disponible,41795,Disponible,5950,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	02",Ganado bovino,65334,Disponible,14190,Disponible,81577,Disponible,5749,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	03",Ganado bovino,23411,Disponible,3700,Disponible,24652,Disponible,6663,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	04",Ganado bovino,11907,Disponible,2459,Disponible,15035,Disponible,6114,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	05",Ganado bovino,94522,Disponible,15589,Disponible,91397,Disponible,5863,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	06",Ganado bovino,31187,Disponible,5954,Disponible,35482,Disponible,5959,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	07",Ganado bovino,80575,Disponible,17471,Disponible,105021,Disponible,6011,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	08",Ganado bovino,118490,Disponible,20939,Disponible,113626,Disponible,5427,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	09",Ganado bovino,215612,Disponible,38810,Disponible,247655,Disponible,6381,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	10",Ganado bovino,23589,Disponible,4378,Disponible,27412,Disponible,6261,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	11",Ganado bovino,177718,Disponible,30535,Disponible,175566,Disponible,5750,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	12",Ganado bovino,50912,Disponible,8584,Disponible,55615,Disponible,6479,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	13",Ganado bovino,55248,Disponible,10829,Disponible,62695,Disponible,5790,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	14",Ganado bovino,264636,Disponible,52292,Disponible,341562,Disponible,6532,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	15",Ganado bovino,256765,Disponible,43496,Disponible,301823,Disponible,6939,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	16",Ganado bovino,122589,Disponible,24474,Disponible,184560,Disponible,7541,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	17",Ganado bovino,41713,Disponible,8312,Disponible,55720,Disponible,6704,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	18",Ganado bovino,42820,Disponible,7551,Disponible,40318,Disponible,5339,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	19",Ganado bovino,111148,Disponible,24453,Disponible,150816,Disponible,6168,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	20",Ganado bovino,46255,Disponible,9639,Disponible,69625,Disponible,7223,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	21",Ganado bovino,69561,Disponible,14079,Disponible,91107,Disponible,6471,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	22",Ganado bovino,34155,Disponible,6314,Disponible,35206,Disponible,5576,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	23",Ganado bovino,20818,Disponible,4116,Disponible,29275,Disponible,7112,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	24",Ganado bovino,68393,Disponible,12737,Disponible,83932,Disponible,6590,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	25",Ganado bovino,151240,Disponible,25665,Disponible,165747,Disponible,6458,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	26",Ganado bovino,109377,Disponible,19874,Disponible,136140,Disponible,6850,Disponible,Cifras Definitivas
EstadÃ­stica de Sacrificio de Ganado en Rastros Municipales. Anual,Estatal,1989,"	27",Ganado bovino,193512,Disponible,40231,Disponible,232488,Disponible,5779,Disponible,Cifras Definitivas
