PRODUCTO,COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,COD_VALIDO
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",PRODUCTO,"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",varchar,max,"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual."
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",COBERTURA,Área geográfica a las que están referidas los indicadores estadísticos.,varchar,max,Estatal
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",ANIO,Año de referencia de la información.,int,,1989-2024
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",ID_ENTIDAD,"Clave de la entidad según Catálogo de Entidades, Municipios y Localidades del INEGI",varchar,2,00-32
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",ESPECIE_GANADERA,Clasificación de los animales que en general incluye a todos los individuos con rasgos comunes entre sí y que por tanto pueden ubicarse dentro de una misma categoría ,varchar,max,
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",CABEZAS_SACRIFICADAS,"Número de animales vivos que ingresan al rastro para su matanza, destinados a la producción de carne apta para consumo humano. No se hace distinción referente al origen del ganado o el lugar donde iniciaron y finalizaron el proceso de engorda.",int,,0-9999999
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",ESTATUS_DATO_CBZ,"Es el estatus de la cifra en la que se encuentra el registro puede ser D=Disponible. Cumple con el principio de confidencialidad establecido en la Ley del Sistema Nacional de Información Estadística y Geográfica. ND = No disponible. Para los casos donde la información no se genera o se encuentra en proceso. NA=No aplicable. Cuando ocurre cualquiera de los siguientes casos: a) Cruces conceptuales incompatibles, b) Cálculos no procedentes. NS= No significativo. Número diferente de cero que por el redondeo de las cifras a las unidades requeridas se expresaría como tal. C = Cifra confidencial. No publicable por el principio de confidencialidad establecido en la Ley del Sistema Nacional de Información Estadística y Geográfica.",varchar,max,
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",PRODUCCION_CARNE,Volumen de carne en canal obtenida a partir del sacrificio del ganado introducido al rastro. Se considera el peso total de las canales independientemente del origen de los animales o del lugar donde iniciaron o concluyeron su proceso de engorda. Expresada en toneladas.,int,,0-9999999
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",ESTATUS_DATO_PROD,"Es el estatus de la cifra en la que se encuentra el registro puede ser D=Disponible. Cumple con el principio de confidencialidad establecido en la Ley del Sistema Nacional de Información Estadística y Geográfica. ND = No disponible. Para los casos donde la información no se genera o se encuentra en proceso. NA=No aplicable. Cuando ocurre cualquiera de los siguientes casos: a) Cruces conceptuales incompatibles, b) Cálculos no procedentes. NS= No significativo. Número diferente de cero que por el redondeo de las cifras a las unidades requeridas se expresaría como tal. C = Cifra confidencial. No publicable por el principio de confidencialidad establecido en la Ley del Sistema Nacional de Información Estadística y Geográfica.",varchar,max,
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",VALOR_PRODUCCION,"Valor en unidades monetarias de la carne en canal producida en los rastros municipales, sin considerar el origen de los animales o el lugar donde iniciaron o concluyeron su proceso de engorda. Expresada en miles de pesos.",int,,0-9999999
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",ESTATUS_DATO_VPROD,"Es el estatus de la cifra en la que se encuentra el registro puede ser D=Disponible. Cumple con el principio de confidencialidad establecido en la Ley del Sistema Nacional de Información Estadística y Geográfica. ND = No disponible. Para los casos donde la información no se genera o se encuentra en proceso. NA=No aplicable. Cuando ocurre cualquiera de los siguientes casos: a) Cruces conceptuales incompatibles, b) Cálculos no procedentes. NS= No significativo. Número diferente de cero que por el redondeo de las cifras a las unidades requeridas se expresaría como tal. C = Cifra confidencial. No publicable por el principio de confidencialidad establecido en la Ley del Sistema Nacional de Información Estadística y Geográfica.",varchar,max,
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",PRECIO_MEDIO,Monto monetario promedio por tonelada de carne en canal producida. Expresada en pesos.,int,,0-9999999
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",ESTATUS_DATO_PMED,"Es el estatus de la cifra en la que se encuentra el registro puede ser D=Disponible. Cumple con el principio de confidencialidad de la Ley de Información Estadística y Geográfica. ND = No disponible. Para los casos donde la información no se genera o se encuentra en proceso. NA=No aplicable. Cuando ocurre cualquiera de los siguientes casos: a) Cruces conceptuales incompatibles, b) Cálculos no procedentes. No Significativa. NS= No significativo. Número diferente de cero que por el redondeo de las cifras a las unidades requeridas se expresaría como tal. C = Cifra no publicable. Por el principio de confidencialidad de la Ley de Información Estadística y Geográfica.",varchar,max,
"Estadística de Sacrificio de Ganado en Rastros Municipales, Anual.",ESTATUS,Estatus de las cifras conforme a los Lineamientos de Cambios a la información divulgada en las publicaciones estadísticas y geográficas del INEGI,varchar,max,"Cifras Definitivas, Cifras Preliminares"
